V = 5.000, I = 10.000, R = 0.500, P = 50.000
V = 2.500, I = 2.000, R = 1.250, P = 5.000
V = 25.000, I = 5.000, R = 5.000, P = 125.000
V = 33.000, I = 10.500, R = 3.143, P = 346.500
V = 0.081, I = 37.000, R = 0.002, P = 3.000
V = 21.000, I = 1.214, R = 17.294, P = 25.500
V = 38.536, I = 1.168, R = 33.000, P = 45.000
V = 46.000, I = 0.261, R = 176.333, P = 12.000
V = 57.000, I = 1.500, R = 38.000, P = 85.500
V = 1071.000, I = 25.500, R = 42.000, P = 27310.500
V = 45.000, I = 22.500, R = 2.000, P = 1012.500
V = 19.000, I = 0.526, R = 36.100, P = 10.000
V = 0.015, I = 33.000, R = 0.000, P = 0.500
V = 2.750, I = 4.000, R = 0.688, P = 11.000
V = 199.750, I = 8.500, R = 23.500, P = 1697.875
V = 11.832, I = 0.296, R = 40.000, P = 3.500
V = 7.500, I = 49.000, R = 0.153, P = 367.500
V = 1527.750, I = 48.500, R = 31.500, P = 74095.875
