1
2 48 29 8
Red Yellow
Berlin Athina Kyiv Zurich Smolensk Paris Brest Wien Angora Budapest Sofia Frankfurt Kobenhavn Rostov Erzurum Smyrna Petrograd Brindisi Zagrab Marseille London Edinburgh Amsterdam Roma Palermo Constantinople Madrid Barcelona Bruxelles Venezia Essen Bucuresti Danzig Wilno Stockholm Moskva Warszawa Pamplona Sarajevo Sevastopol Dieppe Munchen Rostov Sochi Kharkov Riga Cadiz Lisboa
Lisboa Cadiz Yellow
Cadiz Madrid Yellow
Lisboa Madrid Yellow
Madrid Pamplona Yellow
Madrid Barcelona Yellow
Barcelona Pamplona Yellow
Pamplona Paris Yellow
Paris Frankfurt Yellow
Frankfurt Munchen Yellow
Frankfurt Berlin Yellow
Berlin Danzig Yellow
Danzig Riga Yellow
Riga Petrograd Yellow
Zagrab Sarajevo Yellow
Sarajevo Athina Yellow
Madrid Pamplona Red
Pamplona Paris Red
Paris Bruxelles Red
Dieppe London Red
Bruxelles Amsterdam Red
Amsterdam Essen Red
Essen Berlin Red
Essen Kobenhavn Red
Kobenhavn Stockholm Red
Berlin Wien Red
Wien Budapest Red
Budapest Kyiv Red
Kyiv Warszawa Red
Riga Wilno Red
Madrid Berlin Red
Berlin Madrid Yellow
Barcelona Athina Red
Barcelona Athina Yellow
Paris Lisboa Yellow
Dieppe Berlin Red
Stockholm Wilno Red
Petrograd Munchen Yellow
