25
ZeroKelvin Diamond 5 5 90 60 30 45
CipherX Platinum 6 4 200 40 100 160
IronFang Platinum 6 4 200 40 100 150
GhostWire Gold 8 2 142 30 55 92
ShadowByte Gold 8 2 142 30 55 80
NovaPulse Gold 8 2 142 30 55 80
VoltStrike Diamond 9 1 310 25 80 275
NebulaKnight Silver 4 6 88 70 40 30
RiftBlade Platinum 7 3 185 35 90 140
ArcaneViper Gold 5 5 130 50 60 78
PixelReaper Bronze 3 7 60 80 20 15
StormCaller Diamond 8 2 250 20 110 210
FrostPeak Silver 6 4 100 55 45 55
ObsidianX Platinum 9 1 220 15 75 190
QuantumEdge Gold 7 3 160 40 70 112
NightShade Bronze 2 8 45 90 15 10
CrystalFang Silver 5 5 95 60 50 42
MeteorSlash Diamond 10 0 400 10 150 380
VoidWalker Platinum 4 6 175 55 85 120
SerpentCoil Gold 6 4 138 35 65 95
LunarBolt Silver 7 3 110 45 55 66
CobaltRush Bronze 5 5 70 75 25 28
PhantomAxe Platinum 8 2 210 30 95 168
ThunderVeil Gold 3 7 120 65 50 60
EmberWrath Silver 9 1 130 20 60 104
