100
Stacey 5.5 -30.1 50.0
Jared -4.7 25.5 -20.3
Yoshitaka 3.1 -15.0 10.7
Brandon -2.3 10.8 -5.9
Pratamesh 6.6 -36.7 54.2
Luke -1.2 15.3 -10.4
Braden 0.8 -2.1 3.2
Khang -3.9 20.0 -15.5
Jadey 45.0 -340.2 230.1
James -23.4 200.3 -135.8
Troy 11.2 -145.5 80.9
Aiden -6.7 105.3 -72.2
Anderson 29.9 -315.1 245.6
Henry -12.4 125.8 -95.1
Alexander 7.1 -42.5 35.3
Abhinav 9.8 -50.7 60.2
Nicoli -8.3 85.2 -62.4
Tyler 14.4 -220.3 140.5
Steven 22.5 -195.4 130.2
Bidipto -17.2 132.6 -98.1
Soren 36.6 -310.8 280.4
Huy -15.3 145.9 -110.6
Thanh 28.2 -250.1 190.9
Maxine 5.7 -65.2 42.5
Joseph -11.6 95.3 -72.8
Yashwanth 13.8 -135.9 98.5
Ethan 18.5 -210.4 160.6
Adam -19.9 185.7 -120.8
Kayla 31.2 -270.9 220.1
Ryder 8.9 -100.7 76.3
Stacey 9.7 -110.3 85.6
Jared 21.5 -245.2 180.7
Yoshitaka 15.6 -175.8 140.4
Brandon -13.3 105.4 -95.2
Pratamesh 39.9 -320.3 290.8
Luke 2.5 -50.9 45.1
Braden -5.6 75.3 -48.9
Khang 18.8 -125.5 110.6
Jadey 12.9 -140.8 100.7
James -16.7 135.9 -102.3
Troy 29.3 -250.6 215.4
Aiden 7.4 -85.1 60.2
Anderson -10.1 115.2 -82.4
Henry 24.2 -210.5 170.9
Alexander 20.6 -190.8 160.3
Abhinav -18.5 165.4 -130.5
Nicoli 33.1 -270.2 240.8
Tyler 4.9 -55.7 40.9
Steven -7.5 85.3 -65.7
Bidipto 16.4 -130.1 115.3
Soren 10.2 -145.4 125.6
Huy -14.9 160.7 -120.4
Thanh 27.8 -245.6 195.2
Maxine 11.5 -140.2 115.4
Joseph 14.6 -130.7 105.5
Yashwanth -17.3 180.4 -145.2
Ethan 38.0 -330.1 310.5
Adam 5.1 -60.8 49.3
Kayla -6.2 90.9 -67.1
Ryder 19.2 -130.6 105.4
Stacey 23.4 -195.5 170.9
Jared -12.7 120.2 -90.3
Yoshitaka 30.6 -275.9 235.2
Brandon 6.5 -75.4 58.1
Pratamesh -9.9 115.8 -89.5
Luke 17.8 -155.3 130.2
Braden 13.1 -135.5 115.7
Khang -11.5 105.3 -85.2
Jadey 32.7 -265.8 225.4
James 3.8 -48.2 39.5
Troy -7.8 65.3 -55.1
Aiden 26.4 -225.9 195.6
Anderson 15.9 -140.7 115.8
Henry -16.2 165.8 -145.4
Alexander 37.4 -305.4 280.9
Abhinav 4.7 -60.2 50.1
Nicoli -9.3 105.7 -70.5
Tyler 11.5 -102.4 92.1
Steven 17.1 -127.5 112.4
Bidipto 20.2 -165.7 135.6
Soren -22.3 175.3 -145.5
Huy 25.4 -200.4 180.7
Thanh -18.5 190.8 -170.3
Maxine 30.5 -215.6 185.8
Joseph 28.7 -150.8 120.5
Yashwanth -24.8 205.9 -185.7
Ethan 35.1 -275.6 260.3
Adam -28.6 190.4 -165.2
Kayla 40.2 -350.1 320.5
Ryder -32.4 225.6 -200.7
Stacey 14.6 -125.3 105.8
Jared -20.9 185.4 -160.7
Yoshitaka 23.5 -210.6 180.9
Brandon -16.3 155.8 -130.4
Pratamesh 39.5 -290.4 255.1
Luke -19.7 165.2 -145.5
Braden 28.1 -240.7 210.8
Khang 6.9 -90.5 80.3
Jadey -25.6 205.3 -175.9
James 10.8 -135.7 115.5
Troy 22.6 -180.2 150.4

