11
5 5 3
Apocalypse 0 1 3 3
MrSinister 2 2 4 2
Ultron 0 1 0 4
4 4 2
Ultron 0 3 3 3
Enchantress 1 0 2 3
10 10 10
DoctorDoom 0 0 9 9
Mysterio 0 0 3 3
GreenGoblin 2 2 7 3
Venom 1 7 3 9
Enchantress 7 7 9 9
Sandman 3 0 9 2
Magneto 5 6 7 8
Thanos 8 4 9 7
Loki 3 4 5 6
Ultron 6 0 8 5
3 3 2
Kang 1 1 1 1
HydroMan 0 0 2 2
3 3 2
MODOK 0 0 2 2
Gorr 1 1 1 1
8 8 8
DoctorOctopus 4 5 6 7
Ultron 1 2 3 4
RedSkull 0 1 2 3
Galactus 5 3 7 6
Kingpin 1 2 5 6
Annihilus 3 4 3 4
Carnage 3 4 3 6
Bullseye 4 5 7 7
4 4 3
Sabretooth 0 0 2 2
Juggernaut 1 2 2 3
Dormammu 0 2 1 3
1 1 1
Zemo 0 0 0 0
1 1 2
Mystique 0 0 0 0
Lizard 0 0 0 0
3 3 2
Electro 0 0 2 2
Rhino 1 1 1 1
50 50 12
DoctorDoom 0 0 32 24
Enchantress 17 25 38 45
Kingpin 0 17 17 39
Kang 39 49 32 42
Annihilus 23 23 28 29
Magneto 5 7 13 21
MrSinister 8 21 17 23
Apocalypse 37 42 41 47
Ultron 39 39 41 41
Loki 25 9 45 17
Hammerhead 45 45 49 49
Kraven 42 8 47 23
