15
4 5 4
Starvation 3 2 7
Supernova 5 4 11
Disease 2 2 6
Invasion 5 2 982
3 5 4
Galactus 2 2 8
Annihilus 2 3 5
MadCelestials 4 2 3
7 15 10
Galactus 2 2 8
Annihilus 2 3 5
MadCelestials 4 2 3
Starvation 3 2 7
Supernova 5 4 11
Disease 2 2 6
Invasion 5 2 9
7 15 50
Galactus 2 2 8
Annihilus 2 3 5
MadCelestials 4 2 3
Starvation 3 2 7
Supernova 5 4 11
Disease 2 2 6
Invasion 5 2 9
7 10 10
Galactus 2 2 8
Annihilus 2 3 5
MadCelestials 4 2 3
Starvation 3 2 7
Supernova 5 4 11
Disease 2 2 6
Invasion 5 2 9
5 5 5
A 2 2 4
B 3 3 9
C 2 3 6
D 3 2 6
E 4 4 16
5 6 6
A 2 2 4
B 3 3 9
C 2 3 6
D 3 2 6
E 4 4 16
5 7 7
A 2 2 4
B 3 3 9
C 2 3 6
D 3 2 6
E 4 4 16
5 7 7
A 2 2 10
B 2 3 10
C 1 3 8
D 1 2 8
E 4 4 16
12 20 20
A 2 2 4
B 3 3 9
C 2 3 6
D 3 2 6
E 4 4 16
Galactus 2 2 8
Annihilus 2 3 5
MadCelestials 4 2 3
Starvation 3 2 7
Supernova 5 4 11
Disease 2 2 6
Invasion 5 2 9
12 20 10
A 2 2 4
B 3 3 9
C 2 3 6
D 3 2 6
E 4 4 16
Galactus 2 2 8
Annihilus 2 3 5
MadCelestials 4 2 3
Starvation 3 2 7
Supernova 5 4 11
Disease 2 2 6
Invasion 5 2 9
12 10 20
A 2 2 4
B 3 3 9
C 2 3 6
D 3 2 6
E 4 4 16
Galactus 2 2 8
Annihilus 2 3 5
MadCelestials 4 2 3
Starvation 3 2 7
Supernova 5 4 11
Disease 2 2 6
Invasion 5 2 9
12 20 30
A 2 2 4
B 3 3 9
C 2 3 6
D 3 2 6
E 4 4 16
Galactus 2 2 8
Annihilus 2 3 5
MadCelestials 4 2 3
Starvation 3 2 7
Supernova 5 4 11
Disease 2 2 6
Invasion 5 2 9
12 30 30
A 2 2 4
B 3 3 9
C 2 3 6
D 3 2 6
E 4 4 16
Galactus 2 2 8
Annihilus 2 3 5
MadCelestials 4 2 3
Starvation 3 2 7
Supernova 5 4 11
Disease 2 2 6
Invasion 5 2 9
12 30 20
A 2 2 4
B 3 3 9
C 2 3 6
D 3 2 6
E 4 4 16
Galactus 2 2 8
Annihilus 2 3 5
MadCelestials 4 2 3
Starvation 3 2 7
Supernova 5 4 11
Disease 2 2 6
Invasion 5 2 9
