12
100 3 5 150 4 4 250 350 2
Doc-Ock 50 -50 5
Mysterio -100 100 3
150 4 8 200 5 2 0 0 3
Dr-Doom 300 400 7
Lizard 0 -40 3
Paste-Pot-Pete 200 300 2
100 6 6 100 6 6 0 0 1
Me 300 300 1
100 6 6 100 5 6 0 0 4
Green-Goblin 200 212 6
Venom 500 50 5
Vulture 100 500 3
Rhino -100 -100 4
100 6 6 100 6 5 0 0 4
Chameleon -400 -800 2
Kraven -100 -50 3
Kingpin 300 200 4
Carnage 50 100 6
100 6 6 101 6 6 0 0 4
Galactus 400 500 10
Hobgoblin -500 0 5
Black-Cat 100 100 2
Scorpion -212 -212 4
100 5 5 100 4 6 0 0 2
JJonahJameson 100 100 1
MJ 212 212 1
100 5 5 100 4 5 0 0 2
JJonahJameson 100 100 1
MJ 212 212 1
100 5 5 100 3 6 0 0 2
JJonahJameson 100 100 1
MJ 212 212 1
101 5 5 100 4 6 0 0 2
JJonahJameson 100 100 1
MJ 212 212 1
2500 5 5 100 4 4 0 0 19
JJonahJameson 100 100 1
Galactus 400 500 10
Chameleon -400 -800 2
Dr-Doom 300 400 7
Lizard 0 -40 3
Paste-Pot-Pete 200 300 2
Kraven -100 -50 3
Kingpin 300 200 4
Green-Goblin 200 212 6
Venom 500 50 5
Vulture 100 500 3
Rhino -100 -100 4
Carnage 50 100 6
Hobgoblin -500 0 5
Doc-Ock 50 -50 5
Mysterio -100 100 3
Black-Cat 100 100 2
Scorpion -212 -212 4
MJ 212 212 1
2350 5 5 100 4 4 0 0 19
JJonahJameson 100 100 1
Galactus 400 500 10
Chameleon -400 -800 2
Dr-Doom 300 400 7
Lizard 0 -40 3
Paste-Pot-Pete 200 300 2
Kraven -100 -50 3
Kingpin 300 200 4
Green-Goblin 200 212 6
Venom 500 50 5
Vulture 100 500 3
Rhino -100 -100 4
Carnage 50 100 6
Hobgoblin -500 0 5
Doc-Ock 50 -50 5
Mysterio -100 100 3
Black-Cat 100 100 2
Scorpion -212 -212 4
MJ 212 212 1
