1
13 6 4
Topeka_Crickets Baltimore_Pigeons 123-121 D
Baltimore_Pigeons KansasCity_HouseCats 111-117
Topeka_Crickets KansasCity_HouseCats 89-86 D
Baltimore_Pigeons Nenver_Duggets 103-97
Nenver_Duggets Topeka_Crickets 115-107
Nenver_Duggets Jacksonville_Goldfish 100-103 D
Jacksonville_Goldfish KansasCity_HouseCats 89-97
Jacksonville_Goldfish Dover_Diplodocuses 98-99
Dover_Diplodocuses KansasCity_HouseCats 98-99 D
Topeka_Crickets Dover_Diplodocuses 99-98
Baltimore_Pigeons Dover_Diplodocuses 99-98
Jacksonville_Goldfish Nenver_Duggets 88-89 D
KansasCity_HouseCats Baltimore_Pigeons 111-117
