2
7 8 27389455
Baltimore Pigeons
Jikola Nokic (18,61) (7,23) (5,20) (0,8) (1,7)
Mamal Jurray (8,42) (3,11) (6,12) (0,2) (1,8)
Picheal Morter (9,32) (0,5) (0,5) (0,2) (0,1)
Gaaron Ordon (5,30) (6,15) (1,6) (1,5) (1,5)
Bhristian Craun (3,17) (3,10) (0,6) (1,3) (1,2)
Wussel Restbrook (5,17) (2,7) (2,7) (0,2) (0,2)
Weyton Patson (0,12) (2,6) (0,3) (0,2) (0,3)
Topeka Crickets
Calex Aruso (3,20) (2,5) (1,5) (1,3) (1,3)
Your Self (18,56) (3,14) (6,12) (0,2) (1,6)
Het Cholmgren (11,28) (6,12) (1,6) (3,10) (1,5)
Walen Jilliams (12,39) (6,10) (2,9) (0,5) (1,4)
Hisaiah Artenstein (4,15) (8,14) (1,5) (1,6) (0,3)
Du Lort (2,18) (3,8) (0,3) (1,5) (2,7)
Wason Callace (2,16) (0,4) (1,5) (0,4) (1,5)
Waylin Jilliams (0,10) (2,8) (0,5) (1,4) (0,2)
7 8 27389455
Baltimore Pigeons
Jikola Nokic (18,61) (7,23) (5,20) (0,8) (1,7)
Mamal Jurray (8,42) (3,11) (6,12) (0,2) (1,8)
Picheal Morter (9,32) (0,5) (0,5) (0,2) (0,1)
Gaaron Ordon (5,30) (6,15) (1,6) (1,5) (1,5)
Bhristian Craun (3,17) (3,10) (0,6) (1,3) (1,2)
Wussel Restbrook (5,17) (2,7) (2,7) (0,2) (0,2)
Weyton Patson (0,12) (2,6) (0,3) (0,2) (0,3)
Topeka Crickets
Calex Aruso (3,20) (2,5) (1,5) (1,3) (1,3)
Your Self (18,56) (3,14) (6,12) (0,2) (1,6)
Het Cholmgren (11,28) (6,12) (1,6) (3,10) (1,5)
Walen Jilliams (12,39) (6,10) (2,9) (0,5) (1,4)
Hisaiah Artenstein (4,15) (8,14) (1,5) (1,6) (0,3)
Du Lort (2,18) (3,8) (0,3) (1,5) (2,7)
Wason Callace (2,16) (0,4) (1,5) (0,4) (1,5)
Waylin Jilliams (0,10) (2,8) (0,5) (1,4) (0,2)
