1
7
Mace Riddler
Staff Hawkgirl
Orb-Boost Hawkgirl
Punch Hawkgirl
Fist Mr-Freeze
Clay-Shield Mr-Freeze
Mace Riddler
Gun Hawkgirl
Orbs Riddler
Punch Hawkgirl
Green-Shield Mr-Terrific
Stab Hawkgirl
Mace Riddler
Staff Hawkgirl
Orb-Boost Green-Lantern
Freeze-Ray Hawkgirl
Fist Riddler
Stab Hawkgirl
Claws Riddler
Gun Hawkgirl
Orbs Riddler
Freeze-Boost Clayface
Fist Riddler
Spikeball Hawkgirl
Mace Riddler
Gun Hawkgirl
Orbs Riddler
Freeze-Ray Hawkgirl
Fist Riddler
Spikeball Hawkgirl
Mace Mr-Freeze
Gun Hawkgirl
Orbs Mr-Freeze
Freeze-Ray Hawkgirl
Fist Mr-Freeze
Spikeball Hawkgirl
Mace Mr-Freeze
Gun Hawkgirl
Orbs Clayface
Freeze-Ray Hawkgirl
Bat Clayface
Spikeball Hawkgirl
