11
1
1 1 1 1 0
thing 0.04
1
1 1 1 1 1
thing 0.04
1
1 1 1 1 5
thing 0.04
10
10 0 0 0 0
one 1.00
two 1.00
three 1.00
four 1.00
five 1.00
six 1.00
seven 1.00
eight 1.00
nine 1.00
ten 1.00
5
3 6 5 3 2
oneCent 0.01
Thingy 0.51
what 0.15
bruh 2.50
other 2.00
2
5 0 0 0 0
asdf 5.00
fdsa 5.00
4
2 5 3 1 0
vnjwerb 0.60
avsdfa 1.00
asdfv 1.00
vebrw 1.00
1
1 2 3 4 5
overkill 0.01
4
3 2 1 0 0
thing 0.00
asdfvsdfv 3.60
other 0.00
asdfasdfddddd 0.00
3
0 0 5 2 0
one 0.20
two 0.20
three 0.20
2
3 0 0 0 0
bread 300.00
milk 1.00
