4
7 10
Texas Iowa 1
Texas Nevada 2 
Texas Florida 4
Texas Ohio 3
Texas California 1
California Ohio 1 
Texas New_Hampshire 1
85 20
Texas Alabama 1
Alabama Alaska 1
Alaska Arizona 1
Arizona Arkansas 1
Arkansas California 1
California Colorado 15
Texas Conneticut 1
Conneticut Delaware 1
Delaware Florida 17
Texas Georgia 1
Georgia Hawaii 1
Hawaii Idaho 1
Idaho Illinois 1
Illinois Indiana 1
Indiana Iowa 13
Texas Kansas 1
Kansas Kentucky 1
Kentucky Louisiana 1
Louisiana Maine 1
Maine Maryland 1
Maryland Massachusetts 1
Massachusetts Michigan 1
Michigan Minnesota 1
Minnesota Mississippi 1
Mississippi Missouri 1
Missouri Montana 1
Montana Nebraska 1
Nebraska Nevada 5
Texas New_Jersey 1
New_Jersey New_Mexico 1
New_Mexico New_York 1
New_York North_Carolina 13
Texas North_Dakota 1
North_Dakota Ohio 13
Texas Oklahoma 1
Oklahoma Oregon 1
Oregon Pennsylvania 1
Pennsylvania Rhode_Island 1
Rhode_Island South_Carolina 1
South_Carolina South_Dakota 1
South_Dakota Tennessee 1
Tennessee Utah 1
Utah Vermont 1
Vermont Virginia 4
Texas Washington 1
Washington West_Virginia 1
West_Virginia Wisconsin 10
Texas Wyoming 1
Wyoming Texas 1
Colorado Florida 1
Colorado Iowa 1
Colorado Nevada 1
Colorado New_Hampshire 1
Colorado North_Carolina 1
Colorado Ohio 1
Colorado Virginia 1
Colorado Wisconsin 1
Florida Iowa 1
Florida Nevada 1
Florida New_Hampshire 1
Florida North_Carolina 1
Florida Ohio 1
Florida Virginia 1
Florida Wisconsin 1
Iowa Nevada 1
Iowa New_Hampshire 1
Iowa North_Carolina 1
Iowa Ohio 1
Iowa Virginia 1
Iowa Wisconsin 1
Nevada New_Hampshire 1
Nevada North_Carolina 1
Nevada Ohio 1
Nevada Virginia 1
Nevada Wisconsin 1
New_Hampshire North_Carolina 1
New_Hampshire Ohio 1
New_Hampshire Virginia 1
New_Hampshire Wisconsin 1
North_Carolina Ohio 1
North_Carolina Virginia 1
North_Carolina Wisconsin 1
Ohio Virginia 1
Ohio Wisconsin 1
Virginia Wisconsin 1
19 17
Texas Florida 1
Florida Iowa 3
Iowa Nevada 3
Nevada Ohio 3
Ohio Virginia 3
Virginia North_Carolina 3
North_Carolina New_Hampshire 3
New_Hampshire Wisconsin 3
Wisconsin Colorado 3
Colorado Florida 3
Florida Wyoming 1
Iowa Wyoming 1
Nevada Wyoming 1
Ohio Wyoming 1
Virginia Wyoming 1
North_Carolina Wyoming 1
New_Hampshire Wyoming 1
Wisconsin Wyoming 1
Colorado Wyoming 1
10 17
Texas Florida 1
Florida Iowa 3
Iowa Nevada 3
Nevada Ohio 3
Ohio Virginia 3
Virginia North_Carolina 3
North_Carolina New_Hampshire 3
New_Hampshire Wisconsin 3
Wisconsin Colorado 3
Colorado Florida 3
