122 Clones Eliminated
(-149.640, 606.620)
(-858.580, -707.120)
(-30.660, -980.570)
(578.230, -237.440)
(894.560, 445.950)
(403.760, -588.940)
(1059.810, 1018.210)
(448.280, -456.410)
(-77.410, -402.540)
(-436.610, -450.040)
(849.720, -41.280)
(485.850, -739.340)
(749.300, -415.620)
(698.120, 29.200)
(985.180, 72.700)
(-198.250, -401.820)
(1034.320, -1.620)
(-546.650, -538.880)
(-313.460, -471.320)
(658.570, -354.500)
(840.130, -141.960)
(-799.250, -174.330)
(280.700, -551.730)
(267.370, -430.720)
(734.360, 105.960)
(268.410, -458.160)
(874.300, 665.980)
(-842.520, -126.350)
(-481.170, -655.740)
(763.120, -43.570)
(911.380, 173.550)
(880.620, 588.220)
(472.680, -1047.500)
(-597.920, -487.390)
(-528.750, -1052.610)
(356.340, -350.170)
(430.850, -315.740)
(344.350, -586.280)
(791.890, 93.380)
(659.420, -521.880)
(810.100, -684.720)
(-177.570, -442.130)
(-360.400, -547.800)
(-736.420, -403.720)
(951.530, -136.110)
(-300.210, -404.150)
(853.670, 875.800)
(918.790, 398.560)
(900.770, 900.240)
(933.070, 323.610)
(684.230, -51.310)
(-556.330, -660.860)
(1002.140, 159.990)
(-434.640, -634.940)
(158.240, -396.210)
(985.920, 750.780)
(-784.560, -1010.650)
(118.840, -413.910)
(906.440, 10.590)
(-524.000, -323.960)
(-692.950, -352.960)
(280.400, -502.470)
(605.150, -49.890)
(-326.650, -433.210)
(882.680, 258.730)
(870.200, -267.660)
(482.820, -694.310)
(715.910, 113.630)
(957.480, -245.880)
(221.640, -427.600)
(104.960, -378.520)
(-618.780, -1064.130)
(865.520, 706.500)
(846.240, 940.000)
(887.270, -1110.500)
(989.220, -335.760)
(584.110, -566.580)
(-1121.270, -299.760)
(866.550, 38.420)
(938.120, 812.910)
(379.860, -621.370)
(910.380, 864.140)
(1016.460, 240.840)
(612.920, -567.390)
(442.810, -789.180)
(-192.490, -442.220)
(-530.720, -458.900)
(-855.230, -291.470)
(64.970, -439.650)
(1193.780, -54.490)
(909.350, 310.050)
(917.950, 601.650)
(488.580, -841.960)
(625.160, -406.080)
(-499.340, -570.740)
(754.790, -154.640)
(-53.060, -398.890)
(-990.540, -282.220)
(456.430, -611.170)
(-966.100, -209.600)
(957.070, 685.790)
(725.060, -666.780)
(-925.350, -34.900)
(943.770, -31.720)
(1033.580, 756.140)
(-268.930, -395.910)
(740.860, -485.780)
(-248.780, -466.040)
(-128.440, -486.050)
(-317.160, -431.460)
(429.740, -628.960)
(635.250, -476.900)
(795.960, 912.560)
(819.500, 1061.660)
(-645.810, -946.120)
(-511.320, -498.830)
(658.000, -795.810)
(832.440, 80.510)
(-1007.560, -131.500)
(514.110, -619.310)
(317.030, -594.350)
(626.950, -598.200)
(886.390, 122.210)
(-442.700, -574.250)
(881.890, -94.000)
(-526.880, -596.120)
(646.890, -64.610)
(1041.230, 86.590)
(880.900, 312.790)
(321.520, -340.390)
(-512.030, -687.740)
(-1062.990, -133.910)
(-860.300, -374.940)
(883.390, -473.160)
(886.210, -374.890)
(-1131.140, -397.720)
(-995.060, 62.270)
(-561.950, -883.000)
(831.750, -447.040)
(-347.980, -451.180)
(-575.780, -423.640)
(493.480, -676.710)
(-23.590, -471.650)
(-974.430, -112.440)
(1056.470, -519.260)
(883.650, 979.280)
(-632.050, -1012.250)
(-521.390, -885.290)
(591.960, -581.620)
(861.350, 826.200)
(910.970, 358.550)
(607.000, -127.460)
(90.440, -420.850)
(1012.300, -236.060)
(-571.840, -647.140)
(-150.180, -476.240)
(-554.630, -907.260)
(-931.240, -295.400)
(142.520, -475.440)
(-503.730, -821.120)
(819.330, 228.520)
(120.730, -435.110)
(653.080, -141.110)
(480.990, -639.780)
(-114.690, -410.110)
(420.970, -247.830)
(-239.710, -400.680)
(210.340, -382.480)
(-875.090, -99.100)
(-913.340, -409.010)
(802.700, -287.980)
(872.280, 522.910)
(980.130, -160.020)
(882.600, 380.780)
(677.530, -206.560)
(1026.570, -378.170)
(-558.090, -817.900)
