Grand Oaks Advanced Team #1	team11
Grand Oaks Advanced Team #2	team24
Grand Oaks Advanced Team #3	team10
Grand Oaks Advanced Team #4	team27
Klein Oak High School Advanced Team #1	team36
Klein Collins High School Novice Team #1	team85
Klein Collins High School Novice Team #2	team82
Klein Collins High School Novice Team #3	team58
Klein Collins High School Novice Team #4	team55
Cypress Ranch High School Advanced Team #1	team50
Cypress Ranch High School Advanced Team #2	team12
Cypress Ranch High School Advanced Team #3	team46
Klein Forest HS Novice Team #1	team60
Klein Forest HS Novice Team #2	team74
Fort Bend Dulles Novice Team #1	team72
Fort Bend Dulles Novice Team #2	team65
Fort Bend Dulles Advanced Team #1	team34
Fort Bend Dulles Advanced Team #2	team22
Langham Creek HS Advanced Team #1	team31
Langham Creek HS Advanced Team #2	team6
Bridgeland High School Novice Team #1	team77
Bridgeland High School Advanced Team #1	team19
Bridgeland High School Advanced Team #2	team41
Bridgeland High School Advanced Team #3	team43
Cy-Fair High School Advanced Team #1	team26
Cy-Fair High School Advanced Team #2	team13
Cy-Fair High School Advanced Team #3	team39
Cypress Creek HS Novice Team #1	team70
Jersey Village High School Novice Team #1	team57
Jersey Village High School Novice Team #2	team66
Whitehouse High School Novice Team #1	team80
Whitehouse High School Novice Team #2	team59
LCM High School Novice Team #1	team67
LCM High School Advanced Team #1	team16
Cypress Springs Advanced Team #1	team45
Cypress Park High School Novice Team #1	team73
Cypress Park High School Novice Team #2	team84
Cypress Park High School Advanced Team #1	team29
Cypress Park High School Advanced Team #2	team7
Clements High School Novice Team #1	team56
Clements High School Novice Team #2	team68
Clements High School Novice Team #3	team53
Clements High School Novice Team #4	team61
Clements High School Novice Team #5	team63
Clements High School Advanced Team #1	team3
Clements High School Advanced Team #2	team42
Clements High School Advanced Team #3	team14
Clements High School Advanced Team #4	team40
Clements High School Advanced Team #5	team23
Clements High School Advanced Team #6	team33
Waller HS Advanced Team #1	team37
Waller HS Advanced Team #2	team44
Tomball High School Novice Team #1	team88
Tomball High School Novice Team #2	team86
Tomball High School Novice Team #3	team81
Tomball High School Advanced Team #1	team5
Tomball High School Advanced Team #2	team1
Tomball High School Advanced Team #3	team25
James E Taylor High School Novice Team #1	team89
James E Taylor High School Advanced Team #1	team4
James E Taylor High School Advanced Team #2	team38
Elkins High School Advanced Team #1	team47
Elkins High School Advanced Team #2	team49
Needville High School Novice Team #1	team62
Needville High School Novice Team #2	team54
Needville High School Advanced Team #1	team8
Seven Lakes High School Novice Team #1	team79
Seven Lakes High School Advanced Team #1	team2
Seven Lakes High School Advanced Team #2	team21
Seven Lakes High School Advanced Team #3	team20
The Woodlands Christian Academy Novice Team #1	team76
The Woodlands Christian Academy Advanced Team #1	team28
Oak Ridge High School Novice Team #1	team69
Oak Ridge High School Advanced Team #1	team18
Oak Ridge High School Advanced Team #2	team48
Oak Ridge High School Advanced Team #3	team32
Oak Ridge High School Advanced Team #4	team9
Conroe High School Novice Team #1	team78
Conroe High School Advanced Team #1	team30
Conroe High School Advanced Team #2	team15
Cyridge Advanced Team #1	team35
Cyridge Advanced Team #2	team17
South Houston High School Novice Team #1	team51
South Houston High School Novice Team #2	team75
