10
4
Biles 9.5 6.4 9.3 6.2 9.7 6.5 9.6 6.4
Lee 9.4 5.8 9.5 6.4 9.4 6.0 9.3 5.9
Carey 9.6 5.6 8.9 5.4 9.0 5.2 9.5 6.2
Chiles 9.3 5.9 9.2 5.8 9.3 5.9 9.4 6.0
3
Alpha 9.0 5.0 9.0 5.0 9.0 5.0 9.0 5.0
Beta 8.0 6.0 8.0 6.0 8.0 6.0 8.0 6.0
Gamma 7.0 7.0 7.0 7.0 7.0 7.0 7.0 7.0
2
Zoe 10.0 6.0 10.0 6.0 10.0 6.0 10.0 6.0
Amy 9.0 7.0 9.0 7.0 9.0 7.0 9.0 7.0
1
Solo 8.5 5.5 8.0 5.0 8.5 5.5 8.0 5.0
5
Aaa 9.0 5.0 8.0 6.0 7.0 7.0 6.0 8.0
Bbb 8.0 6.0 7.0 7.0 6.0 8.0 9.0 5.0
Ccc 7.0 7.0 6.0 8.0 9.0 5.0 8.0 6.0
Ddd 6.0 8.0 9.0 5.0 8.0 6.0 7.0 7.0
Eee 9.5 4.5 8.5 5.5 7.5 6.5 6.5 7.5
6
Star 9.8 6.6 9.7 6.5 9.9 6.7 9.6 6.4
Moon 9.7 6.5 9.9 6.7 9.6 6.4 9.8 6.6
Sun 9.6 6.4 9.8 6.6 9.7 6.5 9.9 6.7
Sky 9.9 6.7 9.6 6.4 9.8 6.6 9.7 6.5
Cloud 9.5 6.3 9.5 6.3 9.5 6.3 9.5 6.3
Rain 9.4 6.4 9.4 6.4 9.4 6.4 9.4 6.4
3
First 10.0 10.0 0.0 0.0 0.0 0.0 0.0 0.0
Second 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0
Third 0.0 0.0 10.0 10.0 0.0 0.0 0.0 0.0
4
P1 9.0 6.0 9.0 6.0 9.0 6.0 9.0 6.0
P2 8.5 6.5 8.5 6.5 8.5 6.5 8.5 6.5
P3 9.5 5.5 9.5 5.5 9.5 5.5 9.5 5.5
P4 8.0 7.0 8.0 7.0 8.0 7.0 8.0 7.0
5
Gold 9.9 6.8 9.8 6.7 9.7 6.6 9.6 6.5
Silver 9.8 6.7 9.9 6.8 9.6 6.5 9.7 6.6
Bronze 9.7 6.6 9.6 6.5 9.9 6.8 9.8 6.7
Copper 9.6 6.5 9.7 6.6 9.8 6.7 9.9 6.8
Iron 9.5 6.4 9.5 6.4 9.5 6.4 9.5 6.4
8
A 9.0 6.0 9.0 6.0 9.0 6.0 9.0 6.0
B 9.0 6.0 9.0 6.0 9.0 6.0 9.0 6.0
C 9.0 6.0 9.0 6.0 9.0 6.0 9.0 6.0
D 9.0 6.0 9.0 6.0 9.0 6.0 9.0 6.0
E 8.9 6.1 8.9 6.1 8.9 6.1 8.9 6.1
F 9.1 5.9 9.1 5.9 9.1 5.9 9.1 5.9
G 8.8 6.2 9.2 5.8 8.8 6.2 9.2 5.8
H 9.2 5.8 8.8 6.2 9.2 5.8 8.8 6.2
