11
4
Eagles 1
Bears 2
Lions 3
Tigers 4
Eagles Bears
Tigers Lions
Eagles Tigers
8
Duke 1
UNC 2
Kansas 3
UCLA 4
Kentucky 5
Gonzaga 6
Baylor 7
Auburn 8
Duke Kentucky
Kansas UNC
Gonzaga UCLA
Auburn Baylor
Kansas Duke
Auburn Gonzaga
Kansas Auburn
2
Warriors 1
Celtics 2
Warriors Celtics
4
Heat 1
Lakers 2
Spurs 3
Nets 4
Heat Lakers
Spurs Nets
Heat Spurs
4
Underdogs 4
Favorites 1
Midtier 2
Sleepers 3
Underdogs Favorites
Sleepers Midtier
Underdogs Sleepers
8
Alpha 1
Bravo 2
Charlie 3
Delta 4
Echo 5
Foxtrot 6
Golf 7
Hotel 8
Alpha Echo
Bravo Foxtrot
Charlie Golf
Delta Hotel
Alpha Bravo
Charlie Delta
Alpha Charlie
16
Aces 1
Bolts 2
Crows 3
Darts 4
Elks 5
Flames 6
Gators 7
Hawks 8
Icers 9
Jaguars 10
Knights 11
Lynx 12
Marlins 13
Ninjas 14
Owls 15
Panthers 16
Aces Icers
Bolts Jaguars
Crows Knights
Darts Lynx
Elks Marlins
Flames Ninjas
Gators Owls
Hawks Panthers
Aces Bolts
Crows Darts
Elks Flames
Gators Hawks
Aces Crows
Elks Gators
Aces Elks
8
Red 1
Blue 2
Green 3
Yellow 4
Orange 5
Purple 6
Black 7
White 8
White Red
Blue Orange
Green Purple
Yellow Black
White Blue
Green Yellow
White Green
4
Michigan 1
OhioState 2
PennState 3
Iowa 4
Michigan OhioState
PennState Iowa
Michigan PennState
2
Chalks 1
Busters 2
Busters Chalks
16
Spartans 1
Trojans 2
Vikings 3
Warriors 4
Aztecs 5
Bulldogs 6
Cardinals 7
Demons 8
Eagles 9
Falcons 10
Giants 11
Hornets 12
Indians 13
Jays 14
Kings 15
Lions 16
Lions Spartans
Trojans Falcons
Vikings Giants
Hornets Warriors
Indians Aztecs
Bulldogs Jays
Cardinals Kings
Demons Eagles
Lions Trojans
Hornets Vikings
Indians Bulldogs
Cardinals Demons
Lions Hornets
Indians Cardinals
Lions Indians
